Name,Description,Rooms,TaskNames,TaskDescriptions,TaskImages,Tags,isPublic,ExpenseNames,ExpenseCosts
Modern Kitchen Upgrade,Upgrade the kitchen with modern finishes and smart appliances.,Kitchen;Dining Room,Install lighting;Paint walls;Lay tile,"Install modern LED lighting throughout the kitchen to brighten up the space.;Paint the walls with a neutral color to complement the new kitchen design.;Lay high-quality ceramic tiles on the kitchen floor for a sleek, modern look.",house.png;painting.png;flooring.png,Modern Kitchen;Smart Appliances;LED Lighting;Tile Flooring,false,Under;Break;Arm,217.42;138.80;357.82
Garage Workshop Conversion,Turn the garage into a fully equipped workshop.,Garage;Office,Replace fixtures;Install lighting,Replace old fixtures with more functional and stylish options for a workshop environment.;Install energy-efficient modern lighting to illuminate the workspace effectively.,electrical.png;house.png,Garage Workshop;LED Lighting;Brushed Nickel Fixtures,false,Involve|Cut|Game;It|Apply|Mean|Ok,238.53|29.02|389.34;362.12|267.08|19.27|13.63
Guest Bedroom Refresh,"Give the guest bedroom a fresh, welcoming look.",Bedroom,Paint walls;Install cabinets,"Paint the walls with a soft, neutral color that creates a calm atmosphere.;Install custom wood cabinets to provide additional storage space in the guest bedroom.",painting.png;carpentry.png,Guest Bedroom;Wall Painting;Wood Cabinets,false,Total|Like|Per|Professional;Any|Remain,380.67|133.79|119.47|390.16;376.41|259.04
Home Office Setup,Create a productive and stylish home office.,Office;Living Room,Install lighting;Paint walls;Build shelves,"Install modern LED lighting to create a well-lit, productive environment.;Paint the walls with a neutral shade that promotes focus and productivity.;Build floating wall shelves to store office supplies and display items.",house.png;painting.png;carpentry.png,Home Office;LED Lighting;Wall Painting;Floating Shelves,false,Recognize|Feeling;;Camera,344.23|246.17;;103.53
Master Bathroom Oasis,Transform the master bathroom into a relaxing spa retreat.,Bathroom,Install rain shower;Heated floors;Replace fixtures,"Install a luxury rain shower system to provide a spa-like experience.;Add electric underfloor heating to keep the bathroom warm and comfortable.;Replace outdated fixtures with elegant, brushed nickel ones for a modern look.",plumbing.png;hvac.png;plumbing.png,Master Bathroom;Rain Shower;Heated Floors;Brushed Nickel Fixtures,false,;Safe|Five;,;11.56|88.68;
Cozy Living Room Makeover,Redesign the living room for comfort and style.,Living Room,Mount TV;Install lighting;Paint walls,"Mount a wall-mounted smart TV to save space and create a sleek entertainment center.;Install modern LED lighting to brighten the living room.;Paint the walls with neutral tones for a cozy, inviting atmosphere.",electrical.png;house.png;painting.png,Living Room;Smart TV;LED Lighting;Wall Painting,false,I|Difference|Loss;Property|See;Understand|This,50.35|78.72|169.30;272.74|27.76;392.40|232.36
Elegant Dining Room Remodel,Update the dining room with new lighting and furniture.,Dining Room;Kitchen,Install lighting;Paint walls,Install modern LED lighting that creates a welcoming ambiance for meals.;Paint the walls with a subtle shade that complements the dining room's decor.,house.png;painting.png,Dining Room;LED Lighting;Wall Painting,false,State|Collection;Because|Worker,283.20|165.76;247.28|37.56
Outdoor Patio Renovation,Enhance the outdoor patio space for entertainment.,Patio,Build shelves;Lay tile,Build floating wall shelves to store outdoor essentials and display decorative pieces.;Lay high-quality ceramic tiles on the patio floor for a polished look.,landscaping.png;flooring.png,Outdoor Patio;Floating Shelves;Tile Flooring,false,;Low|Machine|Skin|News,;73.67|37.37|318.99|278.62
Laundry Room Upgrade,Improve functionality and style of the laundry room.,Laundry,Install cabinets;Upgrade appliances,Install custom wood cabinets to store laundry essentials and keep the space organized.;Upgrade to energy-efficient appliances that save water and electricity.,carpentry.png;plumbing.png,Laundry Room;Wood Cabinets;Energy-efficient Appliances,false,General|Natural|Size;Have|May|History,240.10|40.16|17.40;168.10|452.65|408.90
Basement Home Theater,Install a home theater system in the basement.,Basement;Living Room,Mount TV;Install lighting;Replace fixtures,"Mount a wall-mounted smart TV to create a cinematic experience.;Install modern LED lights to provide the right lighting for a theater room.;Replace old fixtures with new, elegant brushed nickel ones to match the modern style.",electrical.png;house.png;plumbing.png,Install lighting;Replace fixtures;Wall-mounted smart TV;Modern LED lights;Brushed nickel fixtures,false,Anyone|Movie|Off|City;Sort|Why|Job|Near;Style|Budget,415.64|49.68|318.16|41.14;314.03|63.66|182.75|469.82;128.00|223.13
Sunroom Extension,"Add a bright, airy sunroom to enjoy natural light year-round.",Living Room;Dining Room,Install lighting;Lay tile,Install modern LED lights to brighten the sunroom during the evening.;Lay high-quality ceramic tiles for easy maintenance and aesthetic appeal.,house.png;flooring.png,High-quality ceramic tiles;Install lighting;Lay tile;Living Room;Modern LED lights,false,Choose;May,314.30;499.38
Attic Conversion,Transform the attic into a livable and cozy space.,Bedroom;Living Room,Install cabinets;Paint walls,Install custom wood cabinets for additional storage space in the attic.;Paint the walls with a neutral color to create a calming and cozy atmosphere.,carpentry.png;painting.png,Custom wood cabinets;Install cabinets;Living Room;Neutral wall painting;Paint walls,false,Ask|Product|Tree;Southern|After|Thousand,135.87|119.45|340.43;377.25|457.61|413.74
Mudroom Addition,Build a practical mudroom for storage and transition.,Garage;Laundry,Install cabinets;Upgrade appliances,"Install custom wood cabinets to store shoes, jackets, and other essentials.;Upgrade appliances in the mudroom for efficiency and ease of use.",carpentry.png;plumbing.png,Energy-efficient appliances;Garage;Install cabinets;Laundry;Upgrade appliances,false,Western|Prepare|Federal|Short;,118.64|106.33|61.29|72.46;
Walk-in Closet Expansion,Expand the closet space for a luxury wardrobe.,Bedroom;Closet,Install lighting;Build shelves,Install modern LED lighting to brighten up the walk-in closet.;Build floating wall shelves to maximize storage space and keep the closet organized.,house.png;carpentry.png,Build shelves;Closet;Floating wall shelves;Install lighting;Modern LED lights,false,Million|Agency|Just|Medical;Example|Whose|Hard,303.43|43.16|314.67|234.77;275.17|248.04|371.29
Roof Deck Buildout,Construct a roof deck for outdoor relaxation.,Patio;Living Room,Install lighting;Paint walls,Install modern LED lights to illuminate the roof deck in the evening.;Paint the walls with a neutral color that complements the outdoor aesthetic.,house.png;painting.png,Living Room;Modern LED lights;Neutral wall painting;Paint walls;Patio,false,Give;Media,157.75;55.32
Energy Efficiency Upgrade,Enhance the home's insulation and energy usage.,Kitchen;Basement,Upgrade appliances;Install lighting,Upgrade to energy-efficient appliances that reduce electricity consumption.;Install modern LED lighting to reduce energy use and provide bright illumination.,plumbing.png;house.png,Energy-efficient appliances;Install lighting;Kitchen;Modern LED lights;Upgrade appliances,false,This|Pattern;Federal|Space,431.66|71.82;20.26|78.96
Flooring Overhaul,"Replace all floors with modern, durable materials.",Living Room;Kitchen,Lay tile;Paint walls,"Lay high-quality ceramic tiles throughout the home for a sleek, modern look.;Paint the walls in a neutral color to match the new flooring.",flooring.png;painting.png,Kitchen;Lay tile;Living Room;Neutral wall painting;Paint walls,false,Rock|Writer|Way;Without,54.11|194.35|16.97;396.35
Front Porch Renovation,Restore and beautify the front porch.,Patio;Living Room,Install rain shower;Paint walls,"Install a luxury rain shower system to enhance the front porch's function.;Paint the walls with a fresh, neutral shade to revitalize the porch's look.",plumbing.png;painting.png,Living Room;Luxury rain shower system;Neutral wall painting;Paint walls;Patio,false,Hand|Sit;Oil|Lay,229.32|77.44;372.22|452.63
Smart Home Integration,Integrate smart home technology for convenience.,Office;Living Room,Install lighting;Upgrade appliances,"Install smart LED lighting that can be controlled remotely.;Upgrade appliances to energy-efficient, smart models that can be controlled with voice assistants.",house.png;plumbing.png,Install lighting;Living Room;Modern LED lights;Office;Upgrade appliances,false,A;Standard|Garden,454.12;314.00|310.41
Soundproof Studio Setup,Create a soundproof space for music or recording.,Basement;Office,Install cabinets;Build shelves,Install custom wood cabinets to store musical equipment and other essentials.;Build floating wall shelves to organize and display recording gear.,carpentry.png;carpentry.png,Build shelves;Custom wood cabinets;Floating wall shelves;Install cabinets;Office,false,Thing|Society|Per|Mean;Find|Ahead|Interesting|Field,495.38|9.82|331.73|200.53;155.19|472.20|33.59|176.26
Poolside Retreat,Transform the backyard into a relaxing poolside paradise.,Patio;Backyard,Install lighting;Lay tile,"Install modern LED lighting around the pool area for a tranquil atmosphere.;Lay high-quality ceramic tiles around the pool for an elegant, slip-resistant surface.",house.png;flooring.png,High-quality ceramic tiles;Install lighting;Lay tile;Modern LED lights;Patio,false,Trouble;Serious|Dinner|Dream,417.18;39.39|417.55|397.83
Kitchen Island Remodel,"Install a modern, functional kitchen island for added workspace.",Kitchen,Install cabinets;Upgrade appliances,Install custom wood cabinets under the island for storage.;Upgrade to energy-efficient appliances to complement the modern kitchen design.,carpentry.png;plumbing.png,Custom wood cabinets;Energy-efficient appliances;Install cabinets;Kitchen;Upgrade appliances,false,She|Total|Movie;Program,356.72|411.29|225.33;456.26
Game Room Creation,Design and build a dedicated game room for entertainment and relaxation.,Living Room;Basement,Install cabinets;Install lighting,Install custom wood cabinets for game storage.;Install modern LED lights to create an exciting ambiance for game nights.,carpentry.png;electrical.png,Living Room;Basement;Install cabinets;Install lighting,false,;Establish|Born|Especially|Country,;380.30|110.06|227.08|481.48
Home Bar Setup,Create a stylish and functional home bar for entertaining.,Living Room;Basement,Install cabinets;Build shelves,Install custom wood cabinets to store barware.;Create floating wall shelves for extra storage in the home bar area.,carpentry.png;carpentry.png,Basement;Build shelves;Install cabinets;Living Room,false,Baby|For;,413.63|62.68;
Guest Bathroom Remodel,Renovate the guest bathroom with modern fixtures and finishes.,Bathroom,Install rain shower;Replace fixtures,Install a luxury rain shower system.;Replace outdated fixtures with brushed nickel fixtures for a modern look.,plumbing.png;plumbing.png,Bathroom;Brushed nickel fixtures;Replace fixtures,false,;Plant,;371.91
Library Transformation,"Convert an unused room into a cozy, personal library.",Living Room;Office,Install lighting;Build shelves,Install modern LED lights for good lighting.;Build floating wall shelves to hold books and decorative items in the library.,electrical.png;carpentry.png,Floating wall shelves;Install lighting;Living Room;Modern LED lights;Office,false,Out;Attention,256.22;263.99
Outdoor Kitchen Build,Create an outdoor cooking and dining space for entertaining.,Patio;Backyard,Install cabinets;Upgrade appliances,Install custom wood cabinets for outdoor storage.;Upgrade appliances to energy-efficient models for a more functional outdoor kitchen.,carpentry.png;hvac.png,Backyard;Custom wood cabinets;Install cabinets;Patio;Upgrade appliances,false,Where|Company;Bring|Language|Music,156.98|145.16;465.03|58.98|300.66
Master Suite Makeover,Revamp the master bedroom and en-suite for a luxurious experience.,Bedroom;Bathroom,Install rain shower;Install cabinets,Install a luxury rain shower system in the bathroom.;Install custom wood cabinets for added storage in both the bedroom and bathroom.,plumbing.png;carpentry.png,Custom wood cabinets;Install cabinets;Install rain shower;Luxury rain shower system,false,Hair|Official;Simply|Question,56.56|313.09;436.12|48.38
Bathroom Floor Update,Replace the bathroom flooring with water-resistant materials.,Bathroom,Lay tile;Install cabinets,Lay high-quality ceramic tiles that are water-resistant.;Install custom wood cabinets for bathroom storage.,flooring.png;carpentry.png,Bathroom;Custom wood cabinets;High-quality ceramic tiles;Lay tile,false,Generation|Able|Show;Popular|Exist|Drive|Who,387.67|408.07|188.04;290.51|202.16|284.73|435.57
Backyard Landscaping,Redesign the backyard with new landscaping features.,Patio;Backyard,Build shelves;Install lighting,Install modern LED lights to illuminate the backyard.;Build floating wall shelves for decorative plants and garden tools.,landscaping.png;electrical.png,Backyard;Modern LED lights;Patio,false,Act|Reveal|Effort;Across|Lose|Best,47.81|184.74|384.83;299.71|310.79|479.46
Wine Cellar Creation,Design and build a custom wine cellar with climate control.,Basement;Living Room,Install cabinets;Install lighting,Install custom wood cabinets for wine storage.;Install modern LED lighting to highlight the cellar's contents.,carpentry.png;electrical.png,Basement;Custom wood cabinets;Install lighting;Living Room,false,There;,427.48;
Home Office Upgrade,Convert a room into a fully equipped home office.,Office;Living Room,Install lighting;Build shelves,Install modern LED lighting to brighten up the workspace.;Build floating wall shelves for added storage in the home office.,electrical.png;carpentry.png,Build shelves;Floating wall shelves;Install lighting;Office,false,Bad;Child|Father|Room|Reality,66.37;277.95|35.77|102.07|407.59
Garage Organization,Organize the garage with custom storage and shelving.,Garage;Living Room,Install cabinets;Build shelves,Install custom wood cabinets for organizing tools and equipment.;Build floating wall shelves to maximize garage space.,carpentry.png;carpentry.png,Garage;Build shelves;Install cabinets,false,;,;
Deck Addition,Add a wooden deck to the backyard for outdoor living.,Patio;Backyard,Install flooring;Install lighting,Install durable decking material for the floor.;Add modern LED lights to enhance the atmosphere during the evening.,flooring.png;electrical.png,Backyard;Deck;Install flooring;Modern LED lights,false,Learn|Voice;Always|Ok|Management,199.34|411.63;309.06|107.71|100.68
Basement Finishing,Finish the basement to add usable living space.,Basement,Install cabinets;Install lighting,Install custom wood cabinets for storage.;Install modern LED lighting to brighten up the finished basement.,carpentry.png;electrical.png,Basement;Custom wood cabinets;Install lighting,false,Big|Rich|That|Challenge;Result,112.65|127.03|410.73|339.37;134.98
Driveway Redesign,Repave and redesign the driveway for improved aesthetics and functionality.,Garage;Driveway,Install flooring;Upgrade appliances,Install durable driveway flooring material.;Upgrade appliances for any garage-based tasks requiring power.,flooring.png;hvac.png,Driveway;Garage;Upgrade appliances,false,Star|Glass|When|Spring;Store|Already|Boy,489.62|384.63|12.43|161.97;220.32|330.89|211.74
Elevator Installation,Install a modern elevator to improve home accessibility.,Living Room;Basement,Install lighting;Install cabinets,Install modern LED lighting to illuminate the elevator shaft area.;Install custom wood cabinets for additional storage in the elevator's entryway.,electrical.png;carpentry.png,Basement;Elevator;Install cabinets;Install lighting,false,Could|Follow|Them|Among;Company,167.36|40.44|367.08|381.70;336.89
Bathroom Vanity Update,"Replace the bathroom vanity with a modern, sleek design.",Bathroom,Install cabinets;Replace fixtures,Install a stylish new vanity with custom wood cabinets.;Replace outdated fixtures with more modern options.,carpentry.png;plumbing.png,Bathroom;Custom wood cabinets;Install cabinets;Replace fixtures,false,Success|Media|Life;,141.45|216.65|245.01;
Indoor Pool Installation,Add a luxurious indoor pool to the home for year-round enjoyment.,Living Room;Basement,Install lighting;Lay tile,"Install modern LED lights to brighten the indoor pool area.;Lay high-quality ceramic tiles for a water-resistant, elegant flooring solution.",electrical.png;flooring.png,Basement;Indoor pool;Install lighting;High-quality ceramic tiles,false,;Worker,;312.46
Pergola Construction,Build a stylish pergola in the backyard for shade and elegance.,Patio;Backyard,Install flooring;Install lighting,Construct a pergola structure.;Add modern LED lighting for ambiance during the evening.,carpentry.png;electrical.png,Backyard;Pergola;Install flooring;Modern LED lights,false,Present|Bar;,125.13|215.45;
Home Theater Build,Create a dedicated home theater room for movie nights and entertainment.,Living Room;Basement,Install lighting;Mount TV,Install modern LED lighting to create the perfect movie-watching ambiance.;Mount a large flat-screen TV for entertainment.,electrical.png;electrical.png,Basement;Install lighting;Living Room;Mount TV,false,Technology|Relate;,39.64|119.28;
Fire Pit Installation,Install an outdoor fire pit for gatherings and cozy evenings.,Patio;Backyard,Install lighting;Lay tile,Install modern LED lights to highlight the fire pit area.;Lay heat-resistant tiles around the installation for safety and style.,electrical.png;flooring.png,Backyard;Fire pit;Install lighting;Lay tile,false,Hot|Marriage;Sometimes,224.63|444.32;306.13
Storage Loft Build,Build a storage loft in the garage for additional space.,Garage,Install cabinets;Build shelves,Install custom wood cabinets for storing items.;Build floating wall shelves to maximize vertical storage.,carpentry.png;carpentry.png,Garage;Build shelves;Install cabinets,false,Herself;Trade,222.01;114.86
Home Spa Installation,"Create a relaxing home spa with a sauna, steam room, and whirlpool bath.",Bathroom;Living Room,Install lighting;Install cabinets,Install modern LED lighting to set the mood for relaxation.;Install custom wood cabinets for storing spa accessories.,electrical.png;carpentry.png,Bathroom;Home spa;Install cabinets;Install lighting,false,Hotel;Any|City|Then,25.11;201.64|160.52|398.11
Treehouse Construction,Build a custom treehouse for children or as an outdoor retreat.,Backyard;Living Room,Build shelves;Install lighting,Construct a sturdy treehouse.;Build custom wood shelves for toys or storage.;Add LED lighting for night-time fun.,carpentry.png;electrical.png,Backyard;Build shelves;Treehouse;Install lighting,false,;Once|Prevent|Get|Experience,;471.89|238.63|72.34|335.07
Outdoor Fire Pit Area,Design a cozy outdoor fire pit area for gatherings.,Patio;Backyard,Install lighting;Lay tile,Install modern LED lights to illuminate the fire pit area.;Lay decorative ceramic tiles around the space for a stylish touch.,electrical.png;flooring.png,Backyard;Outdoor fire pit;Install lighting;Lay tile,false,Level;Smile,12.60;14.62
Patio Renovation,Update and refresh the patio space for a modern outdoor living area.,Backyard;Patio,Install flooring;Install lighting,"Install durable flooring.;Add modern LED lights for a stylish, comfortable outdoor space.",flooring.png;electrical.png,Backyard;Patio;Install lighting;Install flooring,false,Fire;,231.09;
Solar Panel Installation,Install solar panels to increase energy efficiency.,Roof;Basement,Upgrade appliances;Install lighting,Upgrade to energy-efficient appliances.;Install solar panels to reduce energy consumption and cut down on utility costs.,hvac.png;electrical.png,Basement;Install lighting;Roof;Upgrade appliances,false,Degree;Treatment|Public|Maybe,231.81;174.16|92.89|357.10
Storm Shelter Build,Construct a storm shelter to protect the home in extreme weather conditions.,Basement;Garage,Install cabinets;Upgrade appliances,Install storage cabinets in the shelter.;Upgrade emergency appliances for safety and readiness.,carpentry.png;hvac.png,Basement;Emergency appliances;Install cabinets;Garage,false,;Control,;189.29
Custom Staircase Design,Design and install a custom staircase to elevate the homeâ€™s interior.,Living Room;Hallway,Install lighting;Install cabinets,Install modern LED lights to highlight the custom staircase.;Install custom wood cabinets for extra storage underneath.,electrical.png;carpentry.png,Hallway;Living Room;Custom staircase;Install cabinets;Install lighting,false,Such|Music|Learn;Time,229.30|74.58|113.21;235.23
RV Garage Addition,Build a custom garage for storing an RV and other vehicles.,Garage;Driveway,Install cabinets;Upgrade appliances,Install storage cabinets for tools and accessories.;Upgrade appliances to handle larger tasks like washing an RV.,carpentry.png;hvac.png,Driveway;Garage;Upgrade appliances;Install cabinets,false,Break|Actually|Admit|Weight;Far|Forward|Through,481.22|336.19|410.44|390.51;322.80|211.07|274.47
Indoor Waterfall Feature,Install a stunning indoor waterfall for a relaxing ambiance.,Living Room;Basement,Install lighting;Lay tile,Install modern LED lighting to highlight the waterfall.;Lay tile around the feature to enhance the water effect.,electrical.png;flooring.png,Basement;Indoor waterfall;Install lighting;Lay tile,false,;Year,;358.62
Kitchen Pantry Build,Design and build a custom walk-in pantry for additional storage space.,Kitchen,Install cabinets;Build shelves,Install custom wood cabinets for pantry storage.;Build floating wall shelves to optimize space.,carpentry.png;carpentry.png,Kitchen;Custom wood cabinets;Install cabinets;Walk-in pantry,false,Star|Receive|Thus|Agreement;Say,492.20|114.27|165.09|308.27;58.65
Custom Garden Shed,Build a custom shed for outdoor storage and gardening tools.,Backyard;Garage,Install cabinets;Build shelves,Install custom wood cabinets for organizing tools.;Build floating wall shelves to make the most of the space in the shed.,carpentry.png;carpentry.png,Backyard;Garage;Install cabinets;Build shelves,false,Church|Book;Road|Over,321.68|472.02;328.33|366.44
